"filename", "language", "XML", "HTML", "JavaScript", "CSS", "Java", "Properties", "comment", "blank", "total"
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\entity\nhanVien.java", "Java", 0, 0, 0, 0, 67, 0, 0, 22, 89
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\test\index.html", "HTML", 0, 58, 0, 0, 0, 0, 2, 7, 67
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\test\test.java", "Java", 0, 0, 0, 0, 7, 0, 2, 4, 13
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\BookingForm.jsp", "HTML", 0, 99, 0, 0, 0, 0, 5, 8, 112
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\DichVu.jsp", "HTML", 0, 72, 0, 0, 0, 0, 3, 6, 81
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\DichVuKH.jsp", "HTML", 0, 77, 0, 0, 0, 0, 0, 5, 82
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\HoaDon.jsp", "HTML", 0, 82, 0, 0, 0, 0, 0, 8, 90
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\META-INF\context.xml", "XML", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\NavBarKH.jsp", "HTML", 0, 35, 0, 0, 0, 0, 2, 2, 39
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\NavBarQL.jsp", "HTML", 0, 23, 0, 0, 0, 0, 1, 0, 24
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\QLdatphong.jsp", "HTML", 0, 84, 0, 0, 0, 0, 0, 11, 95
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\ThongKe.jsp", "HTML", 0, 132, 0, 0, 0, 0, 5, 19, 156
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\UserInfo.jsp", "HTML", 0, 163, 0, 0, 0, 0, 1, 9, 173
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\WEB-INF\web.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\addRoom.jsp", "HTML", 0, 67, 0, 0, 0, 0, 0, 11, 78
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\booking.jsp", "HTML", 0, 128, 0, 0, 0, 0, 3, 10, 141
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\css\CustomerStyle.css", "CSS", 0, 0, 0, 1886, 0, 0, 56, 325, 2267
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\css\reset.css", "CSS", 0, 0, 0, 42, 0, 0, 5, 1, 48
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\css\style.css", "CSS", 0, 0, 0, 1119, 0, 0, 45, 74, 1238
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\dashboard.jsp", "HTML", 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\dashboardKH.jsp", "HTML", 0, 107, 0, 0, 0, 0, 5, 22, 134
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\dashboardQL.jsp", "HTML", 0, 44, 0, 0, 0, 0, 0, 5, 49
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\footer.jsp", "HTML", 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\UserInfor.js", "JavaScript", 0, 0, 22, 0, 0, 0, 4, 6, 32
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\dichvu.js", "JavaScript", 0, 0, 16, 0, 0, 0, 2, 3, 21
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\nhanvien.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\phong.js", "JavaScript", 0, 0, 28, 0, 0, 0, 8, 6, 42
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\quanly.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\js\thongke.js", "JavaScript", 0, 0, 101, 0, 0, 0, 6, 8, 115
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\login.jsp", "HTML", 0, 60, 0, 0, 0, 0, 0, 5, 65
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\nhanvien.jsp", "HTML", 0, 124, 0, 0, 0, 0, 0, 5, 129
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\phong.jsp", "HTML", 0, 99, 0, 0, 0, 0, 2, 6, 107
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\web\sidebar.jsp", "HTML", 0, 23, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 1476, 2976, 414, 6094, 2659, 95, 1489, 1739, 16942
