"filename", "language", "Java", "HTML", "XML", "Properties", "CSS", "JavaScript", "JSON", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\SearchRoomControl.java", "Java", 80, 0, 0, 0, 0, 0, 0, 0, 0, 34, 18, 132
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\Booking\bookingDAO.java", "Java", 3, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 14
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\DanhSachDatPhongControl.java", "Java", 36, 0, 0, 0, 0, 0, 0, 0, 0, 39, 8, 83
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\DashBoardKHConTrol.java", "Java", 49, 0, 0, 0, 0, 0, 0, 0, 0, 39, 9, 97
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\DichVuManager\DichVuControl.java", "Java", 35, 0, 0, 0, 0, 0, 0, 0, 0, 39, 8, 82
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\DichVuManager\EditServiceControl.java", "Java", 60, 0, 0, 0, 0, 0, 0, 0, 0, 46, 12, 118
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\InvoiceControl.java", "Java", 47, 0, 0, 0, 0, 0, 0, 0, 0, 40, 10, 97
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\LogOutControl.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 25
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\LoginControl.java", "Java", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 61
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\NhanVien\DeleteControl.java", "Java", 34, 0, 0, 0, 0, 0, 0, 0, 0, 39, 8, 81
"c:\Users\ADMIN\Documents\NetBeansProjects\QuanLiKhachSan\src\java\control\NhanVien\EditControl.java", "Java", 41, 0, 0, 0, 0, 0, 0, 0, 0, 23, 10, 74
